Water quality control area,Source,Monitoring station,Date,Sample number,Depth,Five-day biochemical oxygen demand (mg/L),Chlorophyll-a (µg/L),Dissolved oxygen saturation percentage (percentage),Dissolved oxygen (mg/L),Escherichia coli (colony count/100 ml),Fecal coliforms (colony count/100 ml),Nitrate nitrogen (mg/L),Nitrite nitrogen (mg/L),pH value,Magnesium-depleted pigment (µg/L),Salinity (psu),Transparency (meters),Silicon (silicon dioxide) (mg/L),Suspended solids (mg/L),Temperature (Celsius),Inorganic nitrogen (mg/L),Kjeldahl nitrogen (mg/L),Total nitrogen (mg/L),Total phosphorus (mg/L),Turbidity (NTU),Non-ionized ammonia nitrogen (mg/L),Total volatile solids (mg/L),Ammonia nitrogen (mg/L),Orthophosphate (mg/L)
Dapeng Bay,Bay,MM2,2017-08-23,1,bottom layer,1,9.2,70,4.6,<1,1,0.034,0.018,7.7,2.3,32.3,2,1.5,21,27.7,0.08,0.31,0.36,0.04,1.2,<0.001,5.4,0.039,0.014
Dapeng Bay,Bay,MM2,2017-08-24,1,surface layer,1.4,2.5,102,6.7,1,1,0.009,0.004,8.2,<0.2,30,5,0.75,<0.5,28.2,0.04,0.19,0.2,0.03,2.5,0.002,<0.5,0.029,0.018
Dapeng Bay,Bay,MM2,2017-08-25,1,middle layer,1.3,2.2,91,6,1,7,0.014,0.012,8.2,1,30.3,5,0.81,2,28,0.04,0.18,0.21,0.05,2.4,0.001,0.9,0.041,0.008
Dapeng Bay,Bay,MM2,2017-08-26,1,bottom layer,1.2,1.7,103,6.8,<1,3,0.044,0.038,8.1,1.6,30.9,5,1,1,27.3,0.11,0.34,0.42,0.03,2.8,0.002,0.7,0.023,0.014
Dapeng Bay,Bay,MM2,2017-08-27,1,surface layer,0.9,4.6,91,6.3,<1,<1,0.003,0.031,7.7,2.2,31.1,3,0.29,9.2,24.8,0.06,0.54,0.57,<0.02,7.8,<0.001,2.1,0.023,0.014
Dapeng Bay,Bay,MM2,2017-08-28,1,middle layer,0.8,4.4,86,5.9,<1,<1,0.004,0.036,7.7,3,31.1,3,0.35,9.7,25.8,0.07,0.36,0.4,0.03,1.8,<0.001,1.9,0.039,0.011
Dapeng Bay,Bay,MM2,2017-08-29,1,bottom layer,0.5,5.6,95,6.5,<1,<1,0.005,0.037,7.7,1.9,31.1,3,0.36,13,25.9,0.08,0.17,0.21,0.02,2.2,<0.001,2.5,0.018,0.011
Dapeng Bay,Bay,MM2,2017-08-30,1,surface layer,0.2,1.6,91,6.6,<1,<1,0.047,0.037,8.2,1.4,30.9,2.5,0.97,3.6,22.2,0.1,0.34,0.42,0.02,2.5,<0.001,0.8,0.023,0.006
Dapeng Bay,Bay,MM2,2017-08-31,1,middle layer,0.3,1.9,92,6.7,<1,<1,0.048,0.038,8.2,1.6,30.9,2.5,0.97,4.5,21.9,0.12,0.25,0.34,<0.02,2.4,0.002,1,0.042,0.017
Dapeng Bay,Bay,MM2,2017-09-01,1,bottom layer,0.4,2.1,92,6.7,<1,<1,0.048,0.038,8.2,1.4,30.9,2.5,0.97,4.4,21.9,0.12,0.58,0.67,<0.02,2.8,0.002,1,0.023,0.005
Dapeng Bay,Bay,MM3,2017-09-02,1,surface layer,1.4,2.9,101,7.8,<1,<1,0.047,0.009,7.9,0.7,31.8,3.5,0.44,11,18.9,0.09,0.83,0.89,0.03,1,<0.001,1.7,0.011,0.019
Dapeng Bay,Bay,MM3,2017-09-03,1,middle layer,1.2,4.8,101,7.8,<1,<1,0.056,0.008,7.9,0.9,31.8,3.5,0.45,7.8,18.9,0.1,0.49,0.55,0.02,1,<0.001,1.4,0.012,0.012
Dapeng Bay,Bay,MM3,2017-09-04,1,bottom layer,1,2.3,102,7.8,<1,<1,0.047,0.008,7.9,0.3,31.8,3.5,0.44,9.1,18.9,0.09,0.19,0.25,<0.02,1,<0.001,1.9,0.014,0.016
Dapeng Bay,Bay,MM3,2017-09-05,1,surface layer,<0.1,5.7,113,9.4,<1,<1,0.064,0.009,8.2,0.8,30.8,3,0.79,<0.5,15.1,0.12,0.32,0.39,0.04,0.5,0.002,<0.5,0.006,0.012
Dapeng Bay,Bay,MM3,2017-09-06,1,middle layer,0.2,2.1,106,8.8,<1,<1,0.07,0.01,8.2,0.3,30.8,3,0.79,0.6,15,0.12,0.36,0.44,0.03,0.4,0.001,<0.5,0.007,0.018
Dapeng Bay,Bay,MM3,2017-09-07,1,bottom layer,0.4,0.6,103,8.6,<1,<1,0.076,0.008,8.2,0.2,30.9,3,0.78,0.7,15,0.13,0.13,0.21,<0.02,0.8,0.001,0.6,0.027,0.014
Dapeng Bay,Bay,MM3,2017-09-08,1,surface layer,3.3,14,97,7.9,2,3,0.02,0.002,8.3,5.9,31.5,2.5,1,6.6,16.2,0.09,0.51,0.53,0.04,3.2,0.003,2.4,0.037,0.016
Dapeng Bay,Bay,MM3,2017-09-09,1,middle layer,1.1,2.8,94,7.6,<1,<1,0.026,<0.002,8.2,2.1,31.6,2.5,1,15,16.2,0.09,0.24,0.27,0.03,9,0.002,2.2,0.03,0.011
Dapeng Bay,Bay,MM3,2017-09-10,1,bottom layer,0.7,1.8,80,6.5,<1,<1,0.027,<0.002,8.2,0.7,31.7,2.5,1,21,16.2,0.1,0.22,0.25,0.02,10.8,0.003,3.2,0.01,0.012
Dapeng Bay,Bay,MM3,2017-09-11,1,surface layer,3.2,13,97,7.3,6,13,0.029,<0.002,8.1,5.5,30.5,4,0.81,2.9,20.6,0.15,0.52,0.55,0.06,0.5,0.005,2,0.007,0.012
Dapeng Bay,Bay,MM3,2017-09-12,1,middle layer,1,0.3,92,7,2,9,0.004,<0.002,8.1,<0.2,31.4,4,0.87,2,19.8,0.06,0.41,0.42,0.02,0.3,0.002,0.6,0.006,0.008
Dapeng Bay,Bay,MM3,2017-09-13,1,bottom layer,0.8,0.8,73,5.7,4,8,0.005,<0.002,7.9,<0.2,31.9,4,1.1,0.9,18.7,0.07,0.4,0.41,0.02,0.4,0.001,<0.5,0.012,0.019
Dapeng Bay,Bay,MM3,2017-09-14,1,surface layer,1.3,1.2,82,5.7,<1,1,0.004,<0.002,7.7,0.3,31.4,5,0.29,1.4,25,0.05,0.18,0.19,<0.02,1.7,0.001,0.7,0.015,0.003
Dapeng Bay,Bay,MM3,2017-09-15,1,middle layer,1.3,1.7,77,5.3,<1,<1,0.005,<0.002,7.7,<0.2,31.5,5,0.36,0.8,24.9,0.06,0.77,0.78,<0.02,0.7,0.001,0.7,0.019,0.015
Dapeng Bay,Bay,MM3,2017-09-16,1,bottom layer,1,1.3,81,5.6,<1,1,0.008,0.005,7.6,0.3,31.9,5,0.58,1.5,24.4,0.07,0.51,0.52,0.04,0.8,0.001,1,0.025,0.007
Dapeng Bay,Bay,MM3,2017-09-17,1,surface layer,0.7,2.1,94,6.1,1,2,0.017,0.003,8.3,<0.2,30.5,3.5,0.56,12,28.9,0.04,0.61,0.63,0.06,1.2,0.002,3,<0.005,0.008
Dapeng Bay,Bay,MM3,2017-09-18,1,middle layer,0.2,1,75,5.1,3,11,0.008,0.041,8.1,0.6,33.2,3.5,0.91,8.3,25.9,0.06,0.4,0.45,0.03,1.8,<0.001,1.3,<0.005,0.013
Dapeng Bay,Bay,MM3,2017-09-19,1,bottom layer,1,1.1,56,3.8,<1,4,0.015,0.089,7.9,<0.2,34.5,3.5,1.6,8.8,24.6,0.12,0.53,0.63,0.04,3.1,<0.001,1.6,0.064,0.014
Dapeng Bay,Bay,MM3,2017-09-20,1,surface layer,1.3,5.8,94,6.2,7,18,0.027,<0.002,7.8,1.2,26.7,2.5,0.29,2.3,29.3,0.05,0.07,0.1,0.04,1.8,<0.001,1.4,0.051,0.012
Dapeng Bay,Bay,MM3,2017-09-21,1,middle layer,0.4,1.1,87,5.8,13,40,0.091,0.023,7.4,0.3,32.1,2.5,1.4,2.2,26.4,0.14,0.81,0.92,0.03,1.1,<0.001,0.8,0.033,0.011
Dapeng Bay,Bay,MM3,2017-09-22,1,bottom layer,0.6,0.9,32,2.2,1,3,0.14,0.006,7.2,<0.2,34.5,2.5,1.9,3.2,23.3,0.16,0.47,0.62,0.06,1.9,<0.001,1,0.041,0.014
Dapeng Bay,Bay,MM3,2017-09-23,1,surface layer,0.7,1.6,95,6.2,1,3,<0.002,<0.002,8.1,1.4,32.7,4,0.3,10,28.1,0.02,0.53,0.53,<0.02,2.4,0.001,2,0.037,0.014
Dapeng Bay,Bay,MM3,2017-09-24,1,middle layer,0.3,1,86,5.6,1,1,0.003,0.007,8,0.8,33.1,4,0.51,8.6,27.5,0.04,0.52,0.53,0.03,2.2,0.001,1.2,0.031,0.013
Dapeng Bay,Bay,MM3,2017-09-25,1,bottom layer,0.6,0.7,23,1.6,<1,1,0.03,0.041,7.7,0.5,34.1,4,2.1,16,23.9,0.18,0.93,1,0.07,3.7,0.002,2.4,0.04,0.009
Dapeng Bay,Bay,MM3,2017-09-26,1,surface layer,1,1,88,5.7,<1,<1,<0.002,<0.002,7.9,0.6,31.6,2,0.31,8.6,29.3,0.02,0.12,0.12,0.05,28.2,<0.001,2,0.036,0.027
Dapeng Bay,Bay,MM3,2017-09-27,1,middle layer,1.3,3,92,5.9,<1,<1,<0.002,<0.002,7.9,1.5,31.7,2,0.45,20,29,0.02,0.49,0.49,<0.02,0.8,<0.001,4.8,0.04,0.004
Dapeng Bay,Bay,MM3,2017-09-28,1,bottom layer,1.7,8.1,35,2.3,1,3,0.049,0.02,7.6,2.2,32.6,2,1.7,18,27.1,0.09,0.37,0.44,0.03,1.9,<0.001,4.2,0.044,0.019
Dapeng Bay,Bay,MM3,2017-09-29,1,surface layer,1.4,2.2,94,6.2,<1,<1,0.005,0.005,8.2,1.2,29.9,4,0.76,0.6,28,0.03,0.15,0.16,0.03,2.2,0.002,0.6,0.035,0.015
Dapeng Bay,Bay,MM3,2017-09-30,1,middle layer,1.2,2.3,98,6.5,<1,1,0.03,0.037,8.1,0.8,30.3,4,1,1.4,27.8,0.08,0.52,0.59,0.02,3,0.001,0.7,0.069,0.017
Dapeng Bay,Bay,MM3,2017-10-01,1,bottom layer,1,2.6,68,4.5,<1,<1,0.042,0.051,8,0.4,31.9,4,1.2,2.6,26.8,0.12,0.39,0.48,0.03,4.8,0.001,1,0.022,0.011
Dapeng Bay,Bay,MM3,2017-10-02,1,surface layer,0.2,1.9,86,5.9,<1,<1,<0.002,0.013,7.7,0.3,31.2,4,0.38,7.6,25.6,0.04,0.3,0.32,<0.02,1.2,<0.001,1.2,0.043,0.013
Dapeng Bay,Bay,MM3,2017-10-03,1,middle layer,0.4,1.6,97,6.6,<1,<1,<0.002,0.015,7.7,0.4,31.3,4,0.33,8.1,25.9,0.04,0.19,0.21,<0.02,1.6,<0.001,1.2,0.044,0.035
Dapeng Bay,Bay,MM3,2017-10-04,1,bottom layer,0.1,1.5,97,6.6,<1,<1,<0.002,0.014,7.7,0.7,31.3,4,0.34,8.1,25.9,0.04,0.1,0.12,0.02,2.3,<0.001,1.4,0.019,0.015
Dapeng Bay,Bay,MM3,2017-10-05,1,surface layer,0.2,1.3,83,6.1,<1,<1,0.069,0.024,8.2,<0.2,31.1,4,1.1,1.5,21.9,0.11,0.46,0.55,0.02,2.8,0.001,<0.5,0.018,0.012
Dapeng Bay,Bay,MM3,2017-10-06,1,middle layer,0.2,1.5,96,7,<1,<1,0.075,0.022,8.2,0.5,31.1,4,1.1,2.7,21.9,0.12,0.21,0.31,<0.02,1.6,0.001,0.6,0.041,0.013
Dapeng Bay,Bay,MM3,2017-10-07,1,bottom layer,0.2,1.5,96,7,<1,<1,0.076,0.021,8.2,1,31.1,4,1.1,3.8,21.8,0.12,0.5,0.6,<0.02,1.7,0.001,0.9,0.017,0.008
Dapeng Bay,Bay,MM4,2017-10-08,1,surface layer,1,3.4,101,7.8,<1,<1,0.052,0.01,7.9,0.4,31.8,5,0.52,14,18.8,0.1,0.53,0.59,0.04,0.4,<0.001,2.6,0.013,0.01
Dapeng Bay,Bay,MM4,2017-10-09,1,middle layer,1,1.8,101,7.8,<1,<1,0.036,0.009,7.9,0.7,31.8,5,0.52,7.6,18.8,0.08,0.6,0.65,0.05,0.4,<0.001,2,0.008,0.019
Dapeng Bay,Bay,MM4,2017-10-10,1,bottom layer,0.9,1.5,101,7.8,<1,<1,0.052,0.009,7.9,0.8,31.9,5,0.49,9.6,18.9,0.1,0.43,0.49,0.03,0.8,<0.001,2.2,0.011,0.01
Dapeng Bay,Bay,MM4,2017-10-11,1,surface layer,0.5,3,102,8.5,<1,<1,0.081,0.009,8.1,1,31,4,0.77,<0.5,15.2,0.14,0.32,0.41,0.02,0.5,0.002,<0.5,0.011,0.011
Dapeng Bay,Bay,MM4,2017-10-12,1,middle layer,0.7,1.8,102,8.5,<1,<1,0.081,0.009,8.1,<0.2,31,4,0.76,0.7,15.1,0.13,0.24,0.33,<0.02,0.5,0.001,0.6,0.02,0.018
Dapeng Bay,Bay,MM4,2017-10-13,1,bottom layer,0.9,1.1,97,7.9,<1,<1,0.081,0.01,8.1,<0.2,31.9,4,0.77,0.9,15.8,0.15,0.45,0.54,0.03,2.4,0.002,0.5,0.019,0.009
Dapeng Bay,Bay,MM4,2017-10-14,1,surface layer,3.1,11,98,7.9,<1,<1,0.002,<0.002,8.3,5.5,31.6,2.5,0.86,2.2,16.2,0.06,0.41,0.41,0.04,2.7,0.003,1.5,0.016,0.008
Dapeng Bay,Bay,MM4,2017-10-15,1,middle layer,0.7,1,91,7.4,<1,<1,0.013,<0.002,8.3,0.6,31.6,2.5,0.88,1.4,16.3,0.06,0.23,0.25,0.03,0.9,0.002,<0.5,0.016,0.006
Dapeng Bay,Bay,MM4,2017-10-16,1,bottom layer,0.6,<0.2,88,7.1,<1,<1,0.039,0.003,8.2,1.6,31.9,2.5,0.99,3,16.5,0.1,0.39,0.43,0.06,2.8,0.002,0.9,<0.005,0.019
Dapeng Bay,Bay,MM4,2017-10-17,1,surface layer,4.2,19,105,7.8,32,51,0.029,<0.002,8.2,7,30.4,3,0.84,2.4,20.8,0.15,0.71,0.74,0.05,0.6,0.006,2.2,0.008,0.012
Dapeng Bay,Bay,MM4,2017-10-18,1,middle layer,0.8,0.3,90,6.8,11,16,0.007,<0.002,8.1,<0.2,31.5,3,0.92,2.7,19.8,0.06,0.32,0.33,0.04,0.5,0.002,<0.5,0.011,0.003
Dapeng Bay,Bay,MM4,2017-10-19,1,bottom layer,0.7,0.6,63,4.9,3,8,0.007,<0.002,7.8,<0.2,32.6,3,1,0.9,18,0.06,0.48,0.49,0.02,0.5,<0.001,<0.5,0.012,0.007
Dapeng Bay,Bay,MM4,2017-10-20,1,surface layer,1.4,1.1,84,5.8,<1,<1,0.005,<0.002,7.7,<0.2,31.5,5,0.3,1.1,24.9,0.05,0.24,0.25,<0.02,0.5,<0.001,0.6,0.014,0.014
Dapeng Bay,Bay,MM4,2017-10-21,1,middle layer,1.3,1.2,87,6,<1,<1,0.003,<0.002,7.7,<0.2,31.8,5,0.26,1.1,24.8,0.04,0.74,0.75,0.03,0.6,<0.001,0.6,0.018,0.012
Dapeng Bay,Bay,MM4,2017-10-22,1,bottom layer,1,1.3,77,5.4,<1,1,0.012,0.009,7.6,1.2,32.3,5,0.82,2.4,23.8,0.1,0.47,0.49,0.04,1.4,0.001,0.9,0.031,0.007
Dapeng Bay,Bay,MM4,2017-10-23,1,surface layer,0.6,1.5,96,6.2,<1,<1,0.007,<0.002,8.3,<0.2,30.5,4,0.43,17,29.2,0.03,0.49,0.5,0.05,0.8,0.002,2.9,0.008,0.012
Dapeng Bay,Bay,MM4,2017-10-24,1,middle layer,0.8,4.7,73,4.8,<1,7,0.004,0.016,8.1,1.6,31.5,4,0.76,9.4,28,0.04,0.55,0.57,0.04,1.3,0.001,1.6,0.009,0.017
Dapeng Bay,Bay,MM4,2017-10-25,1,bottom layer,0.5,2.2,71,4.9,<1,3,0.022,0.056,8,0.5,34.3,4,1.1,13,24.6,0.09,0.53,0.61,0.05,3.9,<0.001,2,0.048,0.003
Dapeng Bay,Bay,MM4,2017-10-26,1,surface layer,1.2,5.2,95,6.3,25,53,0.034,<0.002,7.8,1.4,26.7,2.5,0.28,2.5,29.4,0.06,0.21,0.25,0.1,1.7,<0.001,2.2,0.05,0.004
Dapeng Bay,Bay,MM4,2017-10-27,1,middle layer,0.4,0.3,56,3.7,<1,1,<0.002,0.089,7.4,0.6,32.2,2.5,1.3,1.7,26.8,0.12,0.87,0.96,0.04,0.5,<0.001,0.6,0.064,0.011
Dapeng Bay,Bay,MM4,2017-10-28,1,bottom layer,0.8,0.5,31,2.2,1,4,0.16,0.003,7.2,0.5,34.7,2.5,2.1,4.7,22.7,0.17,0.54,0.7,0.04,3.1,<0.001,1,0.024,0.019
Dapeng Bay,Bay,MM4,2017-10-29,1,surface layer,0.3,1.2,97,6.3,<1,1,<0.002,<0.002,8.1,<0.2,33.3,4,0.28,7.6,27.5,0.02,0.75,0.75,0.03,2.7,0.001,1,0.041,0.019
Dapeng Bay,Bay,MM4,2017-10-30,1,middle layer,0.4,1.2,86,5.7,<1,1,<0.002,0.004,8,1,33.5,4,0.33,9,27.1,0.02,0.47,0.48,0.04,2.1,<0.001,1.6,0.053,0.02
Dapeng Bay,Bay,MM4,2017-10-31,1,bottom layer,1,1.1,42,2.9,<1,1,0.044,0.048,7.8,0.9,34.2,4,2.1,18,23.9,0.15,1.5,1.59,0.06,3.5,0.002,2.6,0.039,0.006
Dapeng Bay,Bay,MM4,2017-11-01,1,surface layer,1.2,1.3,89,5.7,1,7,<0.002,<0.002,7.9,0.3,31.6,3.5,0.42,8.9,29.2,0.02,0.49,0.49,0.03,10.4,<0.001,1.7,0.036,0.004
Dapeng Bay,Bay,MM4,2017-11-02,1,middle layer,1.1,1.9,100,6.5,<1,4,<0.002,<0.002,7.9,1,31.8,3.5,0.4,18,28.9,0.02,0.43,0.43,0.02,0.6,<0.001,3.6,0.041,0.004
Dapeng Bay,Bay,MM4,2017-11-03,1,bottom layer,0.9,1.9,32,2.2,1,4,0.11,0.016,7.5,1.3,33.1,3.5,3.2,17,26.2,0.16,0.42,0.55,0.06,1.5,<0.001,3.6,0.058,0.019
Dapeng Bay,Bay,MM4,2017-11-04,1,surface layer,1.3,1.4,103,6.8,<1,<1,<0.002,0.003,8.2,<0.2,30.7,6,0.58,0.7,27.9,0.02,0.26,0.27,0.06,2.2,<0.001,<0.5,0.061,0.017
Dapeng Bay,Bay,MM4,2017-11-05,1,middle layer,1.1,1.4,106,7,<1,<1,0.003,0.007,8.2,<0.2,31,6,0.7,0.9,27.5,0.02,0.39,0.4,<0.02,2.5,0.001,<0.5,0.05,0.016
Dapeng Bay,Bay,MM4,2017-11-06,1,bottom layer,0.3,2,83,5.6,<1,<1,0.033,0.045,8.1,1.5,31.8,6,0.91,1.2,26.8,0.09,0.35,0.43,0.03,2.6,<0.001,0.6,0.027,0.014
Dapeng Bay,Bay,MM4,2017-11-07,1,surface layer,<0.1,0.9,81,5.5,<1,<1,<0.002,0.013,7.7,<0.2,31.3,3,0.52,11,25.8,0.04,0.28,0.3,<0.02,13.6,<0.001,1.7,0.036,0.016
Dapeng Bay,Bay,MM4,2017-11-08,1,middle layer,<0.1,0.6,93,6.3,<1,<1,<0.002,0.011,7.7,0.3,31.3,3,0.48,17,25.8,0.05,0.71,0.72,0.04,4.5,<0.001,2.6,0.038,0.016
Dapeng Bay,Bay,MM4,2017-11-09,1,bottom layer,<0.1,1.5,95,6.4,<1,<1,0.005,0.008,7.7,0.4,31.3,3,0.48,26,25.8,0.05,0.2,0.21,<0.02,10.2,<0.001,3.8,0.034,0.01
Dapeng Bay,Bay,MM4,2017-11-10,1,surface layer,0.3,1.8,95,6.9,<1,<1,0.096,0.014,8.2,0.8,31.1,3,1.2,3,22,0.12,0.34,0.45,0.02,8.3,<0.001,0.7,0.05,0.012
Dapeng Bay,Bay,MM4,2017-11-11,1,middle layer,0.2,1.2,96,7,<1,<1,0.095,0.014,8.2,0.8,31.1,3,1.2,3.6,21.9,0.13,0.32,0.43,0.03,2.1,0.001,0.7,0.04,0.02
Dapeng Bay,Bay,MM4,2017-11-12,1,bottom layer,0.3,1.7,96,7.1,1,1,0.092,0.014,8.2,1.3,31.1,3,1.2,4,21.9,0.12,0.49,0.6,0.02,3,<0.001,0.8,0.021,0.014
Dapeng Bay,Bay,MM5,2017-11-13,1,surface layer,1.3,2.6,101,7.8,<1,1,0.043,0.011,7.9,0.8,31.7,4.5,0.52,8,18.7,0.1,0.39,0.44,0.02,0.3,<0.001,1.7,0.012,0.018
Dapeng Bay,Bay,MM5,2017-11-14,1,middle layer,0.9,1.3,101,7.7,<1,<1,0.029,0.01,7.9,0.4,31.9,4.5,0.45,7.4,18.9,0.08,0.87,0.91,0.02,0.3,<0.001,1.4,0.01,0.016
Dapeng Bay,Bay,MM5,2017-11-15,1,bottom layer,0.8,1.2,99,7.6,<1,<1,0.064,0.01,7.9,0.4,32,4.5,0.43,6.6,19,0.12,0.14,0.21,<0.02,1,<0.001,1.3,0.022,0.006
Dapeng Bay,Bay,MM5,2017-11-16,1,surface layer,2.8,8.6,105,8.7,<1,<1,0.068,0.008,8.1,2.6,31,4,0.77,1.8,15,0.13,0.3,0.38,0.06,0.4,0.002,1.2,0.018,0.019
Dapeng Bay,Bay,MM5,2017-11-17,1,middle layer,1.9,4,104,8.6,<1,<1,0.07,0.008,8.1,1.4,31,4,0.74,<0.5,15,0.13,0.31,0.39,0.03,0.4,0.002,<0.5,0.012,0.016
Dapeng Bay,Bay,MM5,2017-11-18,1,bottom layer,1.2,2.4,85,6.8,<1,<1,0.07,0.008,8,0.5,32,4,0.75,2.9,16.2,0.14,0.32,0.4,0.03,6,0.002,0.5,0.017,0.005
Dapeng Bay,Bay,MM5,2017-11-19,1,surface layer,2.4,10,84,6.8,<1,1,0.017,<0.002,8.2,7.6,31,4,0.95,2.5,16.2,0.1,0.49,0.51,0.04,0.8,0.003,2.1,0.021,0.006
Dapeng Bay,Bay,MM5,2017-11-20,1,middle layer,0.7,9.3,84,6.8,<1,<1,0.017,<0.002,8.2,<0.2,31.3,4,0.91,1.4,16.2,0.07,0.24,0.26,<0.02,1,0.002,0.5,0.019,0.007
Dapeng Bay,Bay,MM5,2017-11-21,1,bottom layer,0.9,1.4,83,6.7,<1,<1,0.023,0.002,8.2,0.6,32,4,1,2.8,16.6,0.08,0.13,0.16,<0.02,1.4,0.002,0.7,0.005,0.003
Dapeng Bay,Bay,MM5,2017-11-22,1,surface layer,7.4,68,101,7.6,7,10,0.026,<0.002,8.1,7,30.3,2,0.97,5.1,20.6,0.28,0.72,0.75,0.14,0.7,0.011,4.6,0.008,0.01
Dapeng Bay,Bay,MM5,2017-11-23,1,middle layer,0.9,0.3,85,6.5,5,10,0.006,<0.002,8,<0.2,31.9,2,0.81,0.7,19.3,0.06,0.24,0.25,<0.02,0.2,0.002,<0.5,0.009,0.006
Dapeng Bay,Bay,MM5,2017-11-24,1,bottom layer,0.6,<0.2,62,4.8,7,17,0.003,<0.002,7.8,<0.2,33.4,2,1,1.3,18,0.05,0.17,0.18,<0.02,1.2,<0.001,<0.5,0.012,0.008
Dapeng Bay,Bay,MM5,2017-11-25,1,surface layer,0.9,1.5,82,5.7,<1,1,0.005,<0.002,7.7,<0.2,31.6,4.5,0.31,0.8,24.9,0.05,0.4,0.41,0.02,2.5,<0.001,<0.5,0.015,0.01
Dapeng Bay,Bay,MM5,2017-11-26,1,middle layer,1,1,79,5.5,<1,<1,0.004,0.002,7.7,<0.2,31.7,4.5,0.34,<0.5,24.8,0.05,0.61,0.62,<0.02,0.4,<0.001,<0.5,0.012,0.003
Dapeng Bay,Bay,MM5,2017-11-27,1,bottom layer,0.8,0.7,62,4.4,<1,<1,0.021,0.029,7.5,0.2,32.7,4.5,1.5,0.9,22.7,0.14,0.44,0.49,0.04,1,0.001,0.5,0.032,0.013
Dapeng Bay,Bay,MM5,2017-11-28,1,surface layer,0.6,1.4,85,5.6,<1,<1,<0.002,<0.002,8.2,0.3,31.2,4,0.72,12,28.4,0.03,0.39,0.39,<0.02,5.8,0.002,1.8,0.005,0.018
Dapeng Bay,Bay,MM5,2017-11-29,1,middle layer,0.7,6,74,4.8,<1,5,<0.002,0.003,8.1,1.7,32.1,4,0.65,9.4,27.7,0.03,0.48,0.49,0.05,1.1,0.001,1.6,0.006,<0.002
Dapeng Bay,Bay,MM5,2017-11-30,1,bottom layer,0.7,0.7,65,4.3,<1,3,0.044,0.069,7.9,<0.2,32.7,4,1.3,10,26.7,0.13,0.46,0.57,0.07,3.3,<0.001,1.9,0.041,0.003
Dapeng Bay,Bay,MM5,2017-12-01,1,surface layer,1.8,2.8,97,6.3,<1,2,<0.002,<0.002,7.9,1.2,27.4,2.5,0.35,2,30.1,0.02,0.22,0.22,0.11,1.9,<0.001,1.9,0.041,0.012
Dapeng Bay,Bay,MM5,2017-12-02,1,middle layer,0.4,0.4,87,5.7,<1,<1,0.088,0.021,7.5,<0.2,31.1,2.5,1.4,0.8,28.4,0.14,0.42,0.53,0.03,0.4,<0.001,0.6,0.074,0.009
Dapeng Bay,Bay,MM5,2017-12-03,1,bottom layer,0.3,0.5,31,2.2,1,2,0.16,<0.002,7.2,0.2,34.7,2.5,2.1,3.8,22.7,0.17,0.47,0.63,0.04,2.2,<0.001,0.9,0.1,0.01
Dapeng Bay,Bay,MM5,2017-12-04,1,surface layer,1.3,1.5,94,6.2,<1,<1,0.002,<0.002,8.1,<0.2,32.8,3.5,0.24,7.3,26.9,0.03,0.39,0.39,<0.02,2.2,0.002,1.2,0.068,0.007
Dapeng Bay,Bay,MM5,2017-12-05,1,middle layer,1,1.2,75,5,<1,3,<0.002,0.003,8,0.5,33.4,3.5,0.37,8.8,26.7,0.03,0.63,0.64,<0.02,2.1,<0.001,1.2,0.076,0.019
Dapeng Bay,Bay,MM5,2017-12-06,1,bottom layer,1.3,1.4,42,2.9,<1,<1,0.029,0.047,7.8,<0.2,34.1,3.5,1.9,17,23.8,0.15,0.57,0.65,0.05,2.9,0.002,2.8,0.04,0.008
Dapeng Bay,Bay,MM5,2017-12-07,1,surface layer,0.8,0.7,105,6.8,<1,<1,<0.002,<0.002,7.9,0.7,31.6,4,0.34,8.4,28.9,0.01,0.2,0.2,0.06,0.6,<0.001,1.9,0.048,0.002
Dapeng Bay,Bay,MM5,2017-12-08,1,middle layer,0.9,3.7,94,6.2,<1,<1,<0.002,<0.002,7.8,1.6,32.4,4,0.55,19,27.7,0.02,0.9,0.9,0.02,0.7,<0.001,3.8,0.043,0.014
Dapeng Bay,Bay,MM5,2017-12-09,1,bottom layer,1,3.1,24,1.6,<1,<1,0.12,0.002,7.5,2.9,33.6,4,2.2,17,25,0.14,0.82,0.94,0.05,1.4,<0.001,3.5,0.042,0.012
Dapeng Bay,Bay,MM5,2017-12-10,1,surface layer,0.5,1.6,101,6.7,<1,<1,<0.002,0.002,8.2,<0.2,31.1,5,0.63,2.2,27.6,0.02,0.19,0.19,0.02,10.7,<0.001,0.6,0.059,0.005
Dapeng Bay,Bay,MM5,2017-12-11,1,middle layer,0.4,1.4,94,6.2,<1,1,0.049,0.002,8.1,1.1,31.2,5,0.73,0.9,27.3,0.06,0.74,0.79,0.04,2.4,<0.001,0.6,0.057,0.008
Dapeng Bay,Bay,MM5,2017-12-12,1,bottom layer,0.2,2.3,81,5.4,<1,2,0.027,0.033,8.1,2.3,32,5,0.88,1.9,26.7,0.07,0.46,0.52,<0.02,3.2,<0.001,0.8,0.023,0.01
Dapeng Bay,Bay,MM5,2017-12-13,1,surface layer,0.2,1.1,87,5.9,2,4,0.005,0.03,7.7,1,31.3,3,0.58,9.5,25.8,0.07,0.28,0.32,<0.02,22.3,<0.001,1.4,0.027,0.01
